run_id,epoch,train_mse,train_mae,validation_mse,validation_mae
gru-mse-0.0001-s42,1,0.03499722670763731,0.1525214818120003,0.0112494807690382,0.10220710933208466
gru-mse-0.0001-s42,2,0.010738752260804176,0.09511582851409912,0.007392557803541422,0.07383038848638535
gru-mse-0.0001-s42,3,0.0067517727613449095,0.07266480445861817,0.005936480592936277,0.06604746729135513
gru-mse-0.0001-s42,4,0.0038752242922782897,0.05542320132255554,0.004675537813454866,0.06505937874317169
gru-mse-0.0001-s42,5,0.002794319735839963,0.04602918863296509,0.005122573580592871,0.06553693860769272
gru-mse-0.0001-s42,6,0.0034085458877962083,0.046318764612078664,0.004854889120906591,0.06035184487700462
gru-mse-0.0001-s42,7,0.003108190515777096,0.044085897728800776,0.0031589430291205645,0.049626678228378296
gru-mse-0.0001-s42,8,0.0018343728804029525,0.03375488020479679,0.0018391103949397802,0.039727699011564255
gru-mse-0.0001-s42,9,0.001062713279388845,0.02719871260225773,0.001437154016457498,0.03331342339515686
gru-mse-0.0001-s42,10,0.0008262279606424272,0.023848677650094033,0.0011887074215337634,0.03008626587688923
gru-mse-0.0001-s42,11,0.0006020087329670786,0.019658747836947443,0.0010062250075861812,0.02784099243581295
gru-mse-0.0001-s42,12,0.0005095497146248817,0.018871679566800595,0.0009556958684697747,0.026385094970464706
gru-mse-0.0001-s42,13,0.000516098850639537,0.018740034364163875,0.0008216156857088208,0.023949308320879936
gru-mse-0.0001-s42,14,0.00044951107702217996,0.017715572379529476,0.0006953396950848401,0.022031236439943314
gru-mse-0.0001-s42,15,0.0004108975757844746,0.017021169289946556,0.0006657005869783461,0.02141992561519146
gru-mse-0.0001-s42,16,0.00040807618061080577,0.016721790358424186,0.0006271439488045871,0.020681411027908325
gru-mse-0.0001-s42,17,0.0003711977455532178,0.015976502262055874,0.000587672577239573,0.019787730649113655
gru-mse-0.0001-s42,18,0.0003412924660369754,0.0154951336607337,0.0005696495063602924,0.019265420734882355
gru-mse-0.0001-s42,19,0.00032606649503577503,0.015063614808022976,0.0005544422892853618,0.01907145231962204
gru-mse-0.0001-s42,20,0.0003120546753052622,0.0145717316493392,0.0005491026677191257,0.019115738570690155
gru-mse-0.0001-s42,21,0.00030312941409647463,0.01416247956454754,0.0005414037732407451,0.01902144029736519
gru-mse-0.0001-s42,22,0.00029035684769041837,0.013790523335337639,0.0005268258973956108,0.018602559342980385
gru-mse-0.0001-s42,23,0.0002779701125109568,0.013510028645396233,0.0005156376864761114,0.018282029777765274
