run_id,kind,stage,seed,loss,learning_rate,epoch,train_mae_during_updates,validation_mae_after_epoch,train_mse_during_updates,validation_mse_after_epoch
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,1,0.16456758052750292,0.09651561071305835,0.04701661766371609,0.01782217379653241
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,2,0.07854623408520636,0.12413919661292677,0.011008977481756792,0.018645207523324592
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,3,0.08155446249893941,0.07682268487433849,0.01010382719695127,0.009673099597677213
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,4,0.06567683950001722,0.0763405992729273,0.0068468410284125035,0.008953803059796085
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,5,0.05687766609492256,0.07336894066073124,0.0053480135483886465,0.00815020921541036
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,6,0.052065724770320225,0.07284038371734683,0.004542679339160885,0.007813882549500138
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,7,0.0466220763012044,0.06066336654468544,0.0037652229477670735,0.005782795029895712
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,8,0.043170441938303106,0.05536836161474553,0.0032404730753870336,0.004905671146878151
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,9,0.04213683065358971,0.06923615121597736,0.0029150267501728694,0.006434178424082295
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,10,0.03789083294710823,0.06081674543551754,0.002481356646365784,0.0050609322049996715
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,11,0.03803225327057406,0.04151826283021297,0.0024519734424663397,0.002851955806760971
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,12,0.0402064777970776,0.053811627412174254,0.0024708597910520144,0.0040419192441584675
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,13,0.0332381754433906,0.058065989744037025,0.0018326518201164696,0.00463013740832233
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,14,0.03123608292664489,0.05649246170993308,0.0017006117199446743,0.004287149275478572
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,15,0.02897565989607436,0.04932139843976989,0.0015135481622336549,0.0033728863492462507
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,16,0.027895322707973725,0.04633930204353419,0.0013863807457222225,0.0030013793408772225
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,17,0.026746642688445996,0.04304670753697394,0.0012934614369341946,0.0026608432315544128
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,18,0.02617852642179566,0.055052766047558765,0.0011945137325587798,0.004160958887382749
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,19,0.026246809005187784,0.046129508587019974,0.0012007811018959693,0.0030851965888029553
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,20,0.02459830657558168,0.0426614979196563,0.0010652143164228468,0.002635211655377992
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,21,0.024476596449295007,0.0482103054411718,0.0010362597923237438,0.003285052714424146
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,22,0.02334368369181063,0.041028209437520974,0.0009838700038923875,0.002437066654726227
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,23,0.022820060783398932,0.03907306522396736,0.000936659920446138,0.0022481226365301562
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,24,0.02231944537224853,0.043397973054522004,0.0009071034752766723,0.002706212569270205
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,25,0.023401854241955365,0.05093325831721173,0.0009423431932115911,0.00356949585962398
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,26,0.0212039998675257,0.04297589591343615,0.0008593070394523813,0.002635840557499733
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,27,0.0207701079526809,0.045935408247251355,0.0008117124934469668,0.0030163627468195735
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,28,0.020779231592264934,0.03861464977285106,0.0008034004766025349,0.002226924267502116
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,29,0.02070186030966309,0.04120409336561087,0.0008013857745573569,0.0024791361890111607
US-natural/rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,30,0.0205419054059368,0.04218305861553422,0.0007846140743847205,0.0026471627759313623
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,1,0.37045133399777613,0.11957024930604972,0.1764594677018991,0.0212911299464095
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,2,0.1384285292366592,0.13383022901951658,0.034078562696995336,0.02430214783807356
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,3,0.11010993011335694,0.1125810762196025,0.01765269471401854,0.01909434560144377
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,4,0.11259447146463811,0.10154805554610165,0.01701449586818152,0.015352742972830355
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,5,0.09720844644869694,0.09711365469888623,0.013725655922092352,0.013399669523316046
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,6,0.09016967380759812,0.09175282209979846,0.012191628520297707,0.012529721203340193
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,7,0.08515197745314422,0.08297868027052044,0.010745755344338042,0.010159310433082455
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,8,0.0741922804773795,0.07895475198554015,0.008217208875893618,0.009257802680467534
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,9,0.07843555005285115,0.07399822070762634,0.008671705452147894,0.008259334998602446
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,10,0.06427724506054446,0.06888461160339834,0.006406946893578827,0.007192252838842752
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,11,0.05750966313157306,0.06471725650383758,0.005019041019740061,0.006531462953500434
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,12,0.05403112719476649,0.06099358404921714,0.004480667120342407,0.005920553241599024
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,13,0.04706442836940638,0.060637559649502425,0.003750788011403318,0.005964297535086224
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,14,0.04697980986107528,0.05560979021288486,0.0034466167469443965,0.0051803066012615535
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,15,0.041838112319636474,0.05541053988724258,0.002966139549691322,0.0052447574094936725
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,16,0.03862722725380189,0.05170145022278769,0.0025763990851893548,0.004664238567590202
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,17,0.039686760909825945,0.0525744005782529,0.00261198447705785,0.004724081617286773
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,18,0.03569039038821087,0.04936533517879865,0.0022283845976522874,0.004167466764750357
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,19,0.0341564126132105,0.048009245320366975,0.002028364366461551,0.003987300333843046
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,20,0.0333652334182655,0.04761848171730087,0.0019661512884421857,0.00393889338355602
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,21,0.031748140476022736,0.046936763618933605,0.0018153882273832472,0.0038505260310403664
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,22,0.031129966424417663,0.047571207555716664,0.0017420071481756563,0.0038627244054326992
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,23,0.030152271285314655,0.0461925849718103,0.0016414276667363122,0.0036828189558692
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,24,0.029571937853867653,0.04496254643876889,0.001593767978661948,0.003505973163155044
US-natural/rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,25,0.028872694823570966,0.046963263855195586,0.0015348733238713975,0.0037521557208160935
