run_id,kind,stage,seed,loss,learning_rate,epoch,train_mae_during_updates,validation_mae_after_epoch,train_mse_during_updates,validation_mse_after_epoch
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,1,0.42382143139839173,0.19507514812328197,0.23961967937648296,0.05063366481551418
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,2,0.17529487162828444,0.11532209848088247,0.045235915761440995,0.02378950057652589
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,3,0.15168456695973873,0.1258546470767922,0.034629068011417984,0.025298942592753858
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,4,0.11512463986873626,0.0798604831168497,0.02171116042882204,0.010839136260458165
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,5,0.08662189207971097,0.06064374940814795,0.011953554977662862,0.005833213831539508
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,6,0.07117645051330328,0.051744050801628166,0.00875065402360633,0.004444509094874202
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,7,0.05652902852743864,0.05143846677685225,0.006152162665966898,0.004394439501360196
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,8,0.049212696589529516,0.05172386312926257,0.004687838887912221,0.004267547577102151
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,9,0.04310704730451107,0.046813980434779766,0.0037631488725310192,0.0035695265478420035
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,10,0.03906010631471872,0.04412938544043788,0.0031721601146273313,0.003186145337746927
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,11,0.03724170345813036,0.04413251214557224,0.002796863380353898,0.0031579567981814896
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,12,0.035733779333531855,0.043927187334608146,0.002509899259894155,0.0031097015969593217
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,13,0.03423618227243423,0.04272935754723019,0.0022764958965126427,0.0029425627069064866
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,14,0.03278062790632248,0.04188943309364496,0.0020799028599867595,0.0028097223809540823
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,15,0.031385015696287155,0.041489339757848666,0.0019094647344900296,0.0027302555895100038
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,16,0.03006175793707371,0.040987534324328105,0.0017587675014510752,0.0026418552397646836
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,17,0.02886627968400717,0.040371009238340236,0.0016255482652923093,0.0025486035764010415
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,18,0.02778175426647067,0.03985940339388671,0.0015075512317707762,0.0024720477716376386
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,19,0.026812986563891174,0.03936797946139618,0.0014019923808518797,0.002402771210849837
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,20,0.025924628227949144,0.038847063481807706,0.0013074003538349644,0.002334596221852634
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,21,0.025076605286449193,0.03835820717116197,0.0012226988328620791,0.0022723169755880478
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,22,0.02425478454679251,0.03789312769141462,0.0011466017458587885,0.002215176317150946
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,23,0.023480016645044087,0.03743857305358957,0.001078209758270532,0.0021610616723558417
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,24,0.022771513648331167,0.03701558387665837,0.00101670761796413,0.002110691835965823
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,25,0.022138360794633626,0.03661680453353458,0.0009613504429580644,0.002064133194033746
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,26,0.021563177462667227,0.03623198295632998,0.0009114617321756668,0.0020206232020562446
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,27,0.021051561180502176,0.035868513390973765,0.0008664618319016882,0.001980371891382944
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,28,0.02058744225651026,0.035528592861912865,0.000825792583054863,0.0019428985361527238
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,29,0.02013739598914981,0.03521172865121453,0.0007890370732638984,0.001908243695894877
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,30,0.019714860152453183,0.034954338079249414,0.0007557257107691839,0.0018760755343397181
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,1,0.09393884316086769,0.07844018080720196,0.01671205471502617,0.012406491773867014
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,2,0.08012178372591734,0.061111159484695504,0.011447926051914692,0.007826660898151911
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,3,0.06303815227001905,0.06026216684668152,0.006588686443865299,0.005286053247335884
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,4,0.0438489256426692,0.04147504886819257,0.0035757272940827533,0.003356979088426602
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,5,0.03557830611243844,0.035095521545520536,0.0025789974257349967,0.002438016447962986
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,6,0.03235902283340693,0.032862201498614414,0.0020190328446915372,0.001943884432936708
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,7,0.028270455822348595,0.029163937518994012,0.0014658997766673564,0.0015731741113726187
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,8,0.026192817278206347,0.028556071139044233,0.0012740074802422897,0.0014346802908996189
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,9,0.025040397606790065,0.028111600917246606,0.0011252759315539152,0.001350430276296619
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,10,0.023602362535893918,0.027415423509147434,0.000994920771336183,0.0012714952187336706
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,11,0.022667409852147102,0.02718123103733416,0.0009195287246257066,0.0012405035719792875
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,12,0.021795892715454103,0.02659798189997673,0.0008433678653091192,0.0011886752046713675
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,13,0.02096978034824133,0.026237903011065943,0.0007878830132540315,0.0011577390595684173
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,14,0.020198426861315965,0.025843360385409107,0.0007373431319138036,0.001119924895034206
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,15,0.019551471155136824,0.025539184375493615,0.0006965793494600802,0.0010899777722510474
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,16,0.01897719781845808,0.02523862883724548,0.0006610659591387957,0.0010602977489017778
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,17,0.018499319348484276,0.02498038834719746,0.0006311875040410087,0.0010348364232211477
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,18,0.01808939650654793,0.02472973028542819,0.0006051117496099323,0.0010118120638826103
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,19,0.017711423989385366,0.024495569506177196,0.0005825277708936483,0.000991661635796643
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,20,0.01737917084246874,0.024277735018619784,0.0005625863210298121,0.0009739497046986664
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,21,0.017108664847910404,0.024084175226313096,0.0005449110671179369,0.0009581993040801199
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,22,0.01685887956991792,0.023908050496269154,0.0005291128138196655,0.0009442958342670291
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,23,0.016640600748360157,0.023745281732192747,0.0005148681142600253,0.0009319404920528608
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,24,0.01645211670547724,0.02359815275779477,0.0005019411473767832,0.0009209592477418483
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,25,0.016276372689753772,0.02346814501064795,0.0004901470194454305,0.0009112466281900804
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,26,0.016114010568708183,0.02334510492229903,0.0004792891835677437,0.0009025891639154267
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,27,0.015975025296211243,0.023229861507813136,0.0004692852991865948,0.0008948425620069934
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,28,0.01584886647760868,0.023123558500298746,0.00045999523863429206,0.0008878630210852458
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,29,0.015730240754783152,0.023025146099152387,0.00045136931439628827,0.000881729678992458
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,30,0.015614567510783672,0.022933366039284954,0.00044328580843284727,0.0008762737921508098
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,1,0.08306695558130742,0.1102904271196436,0.010859778383746743,0.019078104598102746
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,2,0.06119475960731506,0.07355242219788057,0.007613558450248093,0.010941548072905451
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,3,0.050783876329660416,0.07754574351840549,0.004818042099941522,0.010137004012035
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,4,0.04435993954539299,0.06411362938858844,0.003946954401908442,0.007493334216997027
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,5,0.040949939750134945,0.06227499395608902,0.003172766196075827,0.006696865366150936
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,6,0.037148486636579034,0.056160535690961064,0.0026281825557816774,0.005582397093099577
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,7,0.03585439007729292,0.054564785019115165,0.0023229161044582723,0.005147013585600588
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,8,0.03353978041559458,0.05163600033632031,0.0019993148976936936,0.004644514537519879
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,9,0.03202803712338209,0.050287503362805755,0.0017745653982274233,0.004362017787234099
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,10,0.03035407643765211,0.04904675478184665,0.001567475323099643,0.004122465852372073
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,11,0.028809221275150777,0.04771233763959673,0.0013853134296368808,0.0038922786522932627
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,12,0.027543637715280057,0.04675757766321853,0.0012410347844706848,0.0037180511487854852
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,13,0.026331520266830923,0.04568139596117867,0.001111772027797997,0.0035454144856582087
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,14,0.025145367719233036,0.04464608359116095,0.0010010567493736744,0.003385058805967371
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,15,0.023973317258059977,0.04375441151636618,0.00090692434750963,0.0032455206262292685
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,16,0.022867773286998273,0.043004285764914975,0.0008254056912846864,0.0031182588750703465
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,17,0.021865826472640036,0.04236004164925328,0.0007563031220342964,0.0030057179707067986
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,18,0.020984131190925837,0.04183575149487566,0.0006987281260080636,0.002914792918427675
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,19,0.020224392134696244,0.04144550203173249,0.0006500983407022431,0.002845421054021076
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,20,0.019584654085338115,0.04111326229241159,0.0006083432643208652,0.002787578154217314
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,21,0.01899971915408969,0.040748303245615076,0.0005726016184780747,0.0027328687107742384
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,22,0.018451116140931846,0.0403575383954578,0.0005426190997241065,0.0026832924922928214
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,23,0.017940886411815883,0.04004599614827721,0.0005178566323593258,0.0026458582306211746
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,24,0.017471545562148093,0.0398839987538479,0.0004972077353158965,0.0026222213706070625
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,25,0.01705044899135828,0.03977501298542376,0.000479225255548954,0.0026034411068798767
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,26,0.016698742751032114,0.039549668547179964,0.00046284306445159017,0.002576336562116113
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,27,0.016343257296830414,0.03911111801862717,0.00044766340288333596,0.0025370161963143836
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,28,0.01597633557394147,0.03858259543776512,0.00043411267542978747,0.002499390258971188
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,29,0.015676446538418532,0.03827109008475586,0.00042355082550784575,0.002484211812865127
rnn-mse-0.0001-s44,rnn,base,44,mse,0.0001,30,0.015497680008411407,0.03842123630974028,0.00041632518550613893,0.0024999613149298563
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,1,0.26678844094276427,0.1636788092277668,0.11162400038447232,0.035466021051009496
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,2,0.1524311773478985,0.09366874131891463,0.036278812843374905,0.010948659790058931
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,3,0.14681798815727234,0.05047753770594244,0.02781330794095993,0.0042304430174192895
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,4,0.08186852224171162,0.029595673184289975,0.009148383454885334,0.0015873307930531963
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,5,0.052040477842092515,0.03080821081444069,0.0037903373944573105,0.0014147485752969429
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,6,0.03172168852761388,0.03583954200148583,0.001449290764867328,0.001886287096163465
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,7,0.024750266410410404,0.026402078182608993,0.0011869103967910633,0.0010746080115765196
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,8,0.020934140123426915,0.02426497815521779,0.0008288042765343562,0.000957706814989689
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,9,0.019695312064141036,0.02142802852516373,0.0007588004315039143,0.0007849798198515566
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,10,0.01856658300384879,0.020993691479304324,0.0006810150982346386,0.0007634460387635044
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,11,0.018187633343040945,0.020825216336244786,0.0006382263876730576,0.0007520196886886239
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,12,0.017480083089321852,0.020559465333267496,0.0006157544718007557,0.0007306334545083465
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,13,0.017127032298594712,0.020446382235321733,0.000583365053171292,0.0007219230071145662
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,14,0.016691804118454456,0.02017467791835467,0.0005663403251674026,0.0006999639708535849
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,15,0.016428830474615096,0.02000506996970486,0.0005419722656370141,0.0006865140965264463
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,16,0.01609870819374919,0.01977650203431646,0.000524810142815113,0.0006699245774210862
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,17,0.01585366912186146,0.019591942553718884,0.0005061594012659044,0.0006569399085290368
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,18,0.015571641642600298,0.019385161864812726,0.0004905300185782835,0.0006435557308712439
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,19,0.015350941475480795,0.019183666517751084,0.00047545444394927474,0.0006312677044425746
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,20,0.015121421217918396,0.018981482906060086,0.0004617580270860344,0.0006197395550973145
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,21,0.014915081765502691,0.018781079320857923,0.00044911224831594153,0.0006088470371011041
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,22,0.01470922091975808,0.018593408074229954,0.00043737263622460886,0.0005989259256037056
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,23,0.014544640108942986,0.018405360445656157,0.00042667077796068045,0.0005895361704730291
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,24,0.014398834761232137,0.018232462658650344,0.0004167459672316909,0.0005809556436024313
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,25,0.014270288031548261,0.018062842837362376,0.0004076785276993178,0.0005730216920643148
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,26,0.0141447139903903,0.017920072552644543,0.00039935482491273435,0.0005657810486876837
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,27,0.014019835274666548,0.017784369712764467,0.00039173725963337347,0.0005592005985952845
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,28,0.013898913003504276,0.017654325361191124,0.00038475504697998986,0.0005532675345656806
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,29,0.013784827385097741,0.017560471218355276,0.00037834700488019734,0.0005479689745428644
rnn-mse-0.001-s42,rnn,base,42,mse,0.001,30,0.013680833112448453,0.017471955664869813,0.00037244281265884637,0.0005432824760242107
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,1,0.09621127918362618,0.04136789031326771,0.011964154231827706,0.0027342982197835763
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,2,0.06717394143342972,0.03545972261991766,0.00644320339197293,0.001989814644696674
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,3,0.03595994496718049,0.03934445077622378,0.0021978525561280548,0.002135429108791329
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,4,0.03913895934820175,0.02585525730693782,0.0023324777954258024,0.0011716193291013716
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,5,0.026995213888585567,0.029754257077972093,0.0011190855235327034,0.0015781509082040024
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,6,0.026581427175551654,0.027907519346034085,0.0010931200464256107,0.001325100562017825
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,7,0.028841878566890956,0.032013845692078276,0.0013794516824418678,0.0014112589035735086
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,8,0.03041798770427704,0.029120695901413758,0.0014327136654173956,0.001555369843306296
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,9,0.0278973288834095,0.03242667015917875,0.0011862613289849832,0.001710007741779986
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,10,0.03025203486904502,0.03172800132521877,0.0013005490996874868,0.001574059790517721
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,11,0.032923050597310065,0.026943693682551385,0.0017028983274940401,0.0010778512896245551
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,12,0.0329844206571579,0.04070390759518853,0.0016022791212890297,0.0025133889129695794
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,13,0.03234879579395056,0.021604600383175743,0.0016056847060099244,0.000863460894389492
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,14,0.029579824116081,0.03706145206535304,0.0012447057757526635,0.0018487633800961904
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,15,0.0348384378477931,0.02339398520136321,0.0019131251465296373,0.0009044369734409782
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,16,0.025676801241934298,0.027330846125604928,0.0009765775757841766,0.0013434087075034364
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,17,0.027728204615414143,0.028911880596920295,0.001271678533521481,0.0012087064467508485
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,18,0.024967023450881243,0.016922529186639522,0.0009826379973674193,0.0005357288792125742
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,19,0.020332441944628955,0.0212096792128351,0.0006854896753793582,0.0007530176984060004
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,20,0.018063313607126475,0.019881801514161957,0.0005573612434091046,0.0006839209184464481
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,21,0.01647253017872572,0.016171324832571877,0.00048046078154584393,0.0004895477176264481
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,22,0.014454240165650844,0.017369875401534417,0.00041027933184523135,0.0005545211110815957
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,23,0.013927572406828403,0.01673016888261945,0.00037369730707723645,0.0005334558441838318
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,24,0.013572250306606293,0.016749434876773092,0.0003633927903138101,0.0005205085660606899
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,25,0.013451764639467002,0.01652073664245782,0.0003589716856367886,0.0005172776767587359
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,26,0.013057572953402995,0.0169125372061023,0.00034623657338670453,0.0005423134761965937
rnn-mse-0.001-s43,rnn,base,43,mse,0.001,27,0.013017270527780057,0.016733148280117245,0.0003422275651246309,0.0005270578258205205
