id,kind,stage,loss,learning_rate,seed,epochs,alpha,train_n,train_mae,train_mse,train_rmse,train_bias,validation_n,validation_mae,validation_mse,validation_rmse,validation_bias
US-natural/rnn-mse-0.0001-s42,rnn,base,mse,0.0001,42,30,,205,0.020059917204751764,0.0006869980650470535,0.02621064793260658,-0.0043737659200875755,200,0.04010639070545846,0.0024479131329187727,0.04947638965121417,0.030007036276170237
US-natural/rnn-mse-0.0001-s43,rnn,base,mse,0.0001,43,30,,205,0.02195648096472826,0.000835183397546074,0.028899539746267137,-0.0004377188585366669,200,0.04473279220188003,0.003345263649363661,0.05783825420397525,-0.02776734506337978
US-natural/rnn-mse-0.0001-s44,rnn,base,mse,0.0001,44,30,,205,0.017714106236602155,0.0005795316322120297,0.02407346323676819,0.0012885946219800919,200,0.021513253416766697,0.0007469569426537249,0.027330513033123345,0.008814570814379674
US-natural/rnn-mse-0.001-s42,rnn,base,mse,0.001,42,30,,205,0.01373837870443271,0.00038576358014402143,0.019640865055898668,-0.0006454889473604982,200,0.02140329846264156,0.0007146556453438914,0.026733044071782987,0.010592399215334275
US-natural/rnn-mse-0.001-s43,rnn,base,mse,0.001,43,30,,205,0.01349669173800001,0.0003451583935741032,0.01857843894341242,-0.0006814524274260066,200,0.018630225802845797,0.0006335951705181267,0.025171316424019756,-0.002892957344642659
US-natural/rnn-mse-0.001-s44,rnn,base,mse,0.001,44,30,,205,0.01602023806876535,0.00047155470540918804,0.021715310391730257,0.006951234860660582,200,0.017342646679845607,0.0004908639001093343,0.02215544854227362,0.009104770518847923
US-natural/rnn-mae-0.0001-s42,rnn,base,mae,0.0001,42,30,,205,0.020977528241165652,0.0007333946111162015,0.027081259407867306,0.006830844345158677,200,0.04369161601573764,0.00247737979486689,0.04977328394698194,0.03850174030662439
US-natural/rnn-mae-0.0001-s43,rnn,base,mae,0.0001,43,30,,205,0.016901836573184816,0.0005663112704016295,0.02379729544300422,0.008286380212023972,200,0.03331748889509148,0.001922937110582531,0.043851306828674226,-0.012153833560637015
US-natural/rnn-mae-0.0001-s44,rnn,base,mae,0.0001,44,30,,205,0.016476639775236515,0.0005104284411096301,0.02259266343549671,0.008753457800186746,200,0.020706603523395192,0.0007091882568049029,0.026630588743114615,0.011407251715668658
US-natural/rnn-mae-0.001-s42,rnn,base,mae,0.001,42,30,,205,0.03227546311686789,0.0013266791255440037,0.03642360670696964,-0.029459336610559522,200,0.03284486141059312,0.0013829777822476346,0.037188409245995376,-0.03131528343631961
US-natural/rnn-mae-0.001-s43,rnn,base,mae,0.001,43,30,,205,0.014009363990272318,0.00041700156276322975,0.020420616121048594,0.005560073863711782,200,0.0159345945909943,0.00045304783355138367,0.021284920332277114,0.0022318189069714355
US-natural/rnn-mae-0.001-s44,rnn,base,mae,0.001,44,30,,205,0.013917488871086448,0.00040973866478575963,0.020242002489520638,-0.0019638167755119218,200,0.015254338016372998,0.0004162910485868636,0.020403211722345667,-0.001562765106550236
US-natural/rnn-huber-0.0001-s42,rnn,base,huber,0.0001,42,30,,205,0.020496479747549937,0.0006776894441522519,0.026032469036805783,-0.012910525729474013,200,0.029409005390585975,0.0013132579101328076,0.036238900509436095,0.017170593621217825
US-natural/rnn-huber-0.0001-s43,rnn,base,huber,0.0001,43,30,,205,0.01578556254273907,0.0005030065789132455,0.02242780816114775,0.004831614498227591,200,0.03424991347654013,0.0019631383153790134,0.04430731672510776,-0.016986459285012263
US-natural/rnn-huber-0.0001-s44,rnn,base,huber,0.0001,44,30,,205,0.014587080143625867,0.0004440160101153682,0.02107168740550619,0.0033938124306105,200,0.019484434304411147,0.0006328967448659839,0.025157439155565575,0.006288552530118448
US-natural/rnn-huber-0.001-s42,rnn,base,huber,0.001,42,30,,205,0.022127958833321682,0.0008091491412912049,0.02844554695011514,-0.012720718399874563,200,0.02293413927656558,0.0007828753217868699,0.02797990925265609,-0.011930546458802005
